tag,name,A_MHz,B_MHz,C_MHz,doc_url
028503,"CO, v = 0",,57635.968,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028503.cat
028504,HCNH +,,37055.748,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028504.cat
028505,13 C 15 N,61.0,52607.91,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028505.cat
028506,"HC 15 N, v = 0",,43027.648,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028506.cat
028507,"HC 15 N, v 2 = 1",,43129.732,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028507.cat
028508,DNC,,38152.99,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028508.cat
028509,"DCN, v = 0",,36207.462,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028509.cat
028510,"DCN, v 2 = 1",,36337.02,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028510.cat
028511,"H 13 CN, v 2 = 1",,43264.761,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028511.cat
028512,"CO, v = 1 – 3",,57111.24,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028512.cat
028513,"CO + , v = 0",,58983.04,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028513.cat
028514,HBO,,39224.25,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028514.cat
028515,HN 13 C,,43545.6,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028515.cat
028516,AlH,,188890.4,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028516.cat
028517,Si,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028517.cat
028518,Si +,,,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028518.cat
028519,"CO + , v = 1",,58412.7,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028519.cat
028520,"H 13 CN, v 2 = 2",,43374.03,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028520.cat
028521,"H 13 CN, v 2 = 3",,43480.42,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028521.cat
028522,"H 13 CN, v 3 = 1",,42877.73,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028522.cat
028523,"H 13 CN, v 1 = 1",,42881.47,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028523.cat
028524,"HC 15 N, v 2 = 2",,43246.198,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028524.cat
028525,"HC 15 N, v 2 = 3",,43359.887,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028525.cat
028526,"HC 15 N, v 3 = 1",,42737.8,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028526.cat
028527,"HC 15 N, v 1 = 1",,42727.73,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028527.cat
028528,H 2 NC,339669.8,2.0,34127.8,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e028528.cat
029501,13 CO,,55101.013,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029501.cat
029502,HCND +,,31705.71,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029502.cat
029503,C 17 O,,56179.991,17.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029503.cat
029504,"HOC + , v 2 = 0",,44743.9,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029504.cat
029505,"HOC + , v 2 = 1",,44939.8,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029505.cat
029506,"N 2 H + , v = 0",,46586.87,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029506.cat
029507,"HCO + , v = 0",,44594.43,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029507.cat
029508,"HCO + , v 2 = 1",,44677.15,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029508.cat
029509,"N 2 H + , v 2 = 1",,46691.33,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029509.cat
029510,D 13 CN,,35587.646,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029510.cat
029511,DC 15 N,,35169.798,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029511.cat
029512,"H 13 C 15 N, v = 0",,41863.945,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029512.cat
029513,"H 13 C 15 N, v 2 = 1",,41954.438,15.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029513.cat
029514,H 13 CNH +,,36113.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029514.cat
029515,"HCO + , ν 2 IR band",,44594.43,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029515.cat
029516,"N 2 H + , ν 2 IR band",,46586.87,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029516.cat
029517,SiH,,221599.0,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029517.cat
029518,H 2 CNH,196210.876,34641.699,29351.497,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029518.cat
029519,13 CO +,,56388.85,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029519.cat
029520,C 2 H 3 D,120093.5,27470.24,2.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029520.cat
029521,"SiH + , v = 0",,226551.16,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029521.cat
029522,"SiH + , v = 1 – 0",,226551.16,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e029522.cat
030501,H 2 CO,281970.56,38833.987,34004.244,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030501.cat
030502,C 18 O,,54891.421,18.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030502.cat
030503,13 C 17 O,,53644.791,17.0,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030503.cat
030504,H 13 CO +,,43377.3,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030504.cat
030505,HC 17 O +,,43528.918,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030505.cat
030506,DOC +,,38193.2,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030506.cat
030507,15 NNH +,,45132.08,,https://cdms.astro.uni-koeln.de/cgi-bin/cdmsinfo?file=e030507.cat
