tag	molecule	#lines	lg(Q(300))	lg(Q(225))	lg(Q(150))	lg(Q(75))	lg(Q(37.500))	lg(Q(18.750))	lg(Q(9.375))
19004	H3O+	304	2.7161435480078526	2.514372538598184	2.2407344079470928	1.7962821615076812	1.4259367018731053	1.201836659131787	1.064978082276334
19005	H$_3$O$^+$	1983	2.7161435480078526	2.514372538598184	2.2407344079470928	1.7962821615076812	1.4259367018731053	1.201836659131787	1.064978082276334
19006	17OD	113226	3.1079503192759477	2.9664134831804394	2.7693254366033364	2.4698392549186705	2.269090188671509	2.176420445295116	2.1576088503495954
20001	D2O	1137	3.0189999088690045	2.832200326283875	2.5695997776490924	2.124200895305138	1.686296564621513	1.2685077677473502	0.9367147582112038
20002	HF	8	1.021313365484695	0.900913067737669	0.734319680859007	0.46224821535499744	0.2211533219547051	0.05230909964732344	0.0025979807199085947
20003	H2O-18	726	2.178593102988054	2.0091699158315404	1.78161178249315	1.4413714538807363	1.200544086611016	1.058388059993333	0.9799306041087044
20004	18OD	3632	2.332137682605994	2.190536524780901	1.9933236079664474	1.6935120342756445	1.4922766703873687	1.3991082516043085	1.3804232704174724
21001	HDO-18	952	2.1723985779393047	1.9857990798851557	1.7238987710972362	1.2806011315369137	0.8472023639809237	0.437750562820388	0.1274287778515989
21002	DF	20	1.291701770729981	1.1690863574870227	0.997779430865604	0.7118072290411911	0.4415380387021608	0.20439133191929973	0.0441476208787228
25001	CCH	114	2.7591002475852004	2.634399674655807	2.4589006120926737	2.1597987151332423	1.8627990112383737	1.5699003626847146	1.2851971228109693
25002	NaH	52	1.6426623314420354	1.5165485942267516	1.3417312076013392	1.0467682196608383	0.7589875468676193	0.48515334990365233	0.24029958200271248
26001	CN	511	2.8222273329763503	2.6976215132053873	2.5223238403018673	2.2238423557455467	1.9280413068901279	1.6375707769104753	1.3578643636679655
26002	C2H2	2066	2.6235636265000624	2.4513463935908226	2.2534395388738004	1.9507814214325259	1.6529924154749003	1.3585154228727634	1.0706694442214386
27001	HCN	40	2.6276996433871247	2.50309989163281	2.3276000286245453	2.028599716753869	1.731701554300969	1.4389060861517926	1.154484837032048
27002	HNC	49	2.1408567213191936	2.0162015374468316	1.8407395014422323	1.541753924982827	1.2448953336918616	0.9523080096621253	0.6682927104482209
27003	HCN-v2	132	2.1505783886674625	2.0259772733190853	1.8504808165045714	1.551474395853947	1.254572244187353	0.9618006391916786	0.6773331514199017
27004	C-13-N	1218	3.1415371879249285	3.0169271329608627	2.8415748121024578	2.5429260869936923	2.246789490188858	1.955643981997509	1.6745745771285239
28001	CO	91	2.0368882769086922	1.912317728988398	1.737041488287037	1.4386214480453956	1.1429210575156148	0.8526019693382348	0.5733358400660676
28002	HC-13-N	45	2.6389003940710998	2.514499937791687	2.3390000175404646	2.0399016830273498	1.7428036584691655	1.4498022636266548	1.1650067795683678
28003	HCN-15	35	2.163399932786864	2.0387989289186397	1.863299062510548	1.5642043070135065	1.2671012965599688	0.9740970037941311	0.6892200372638356
28004	DCN	54	2.7151004094157827	2.5905999975718914	2.41500007296279	2.1156005277783487	1.8179023623508346	1.5236034121365691	1.2361088015872816
28005	HNC-13	34	2.1580004291464734	2.0336006542433878	1.8580978688247403	1.5589964051721585	1.261999948651827	0.9690896029549215	0.6843964784190205
28006	HN-15-C	33	2.1494008007050858	2.0249000610747316	1.849400985068625	1.5503995903554972	1.2534107047903673	0.9607085516885566	0.6763277338813203
28007	DNC	53	2.2155609009176276	2.090850349692817	1.9152837263926368	1.6159605671339843	1.3184390042001923	1.024485667699167	0.7376696273566419
28008	HCNH+	74	2.228140782491391	2.1034404030910228	1.9278736680783952	1.628514601798157	1.3309025868032416	1.0367606007378407	0.7495894652076159
28009	CO+	88	2.3278409890959604	2.2033511441488853	2.0281033615503055	1.7297315952870354	1.434153571066601	1.144106973049323	0.8652816849956105
28010	DCCD	6940	2.711406734550829	2.504339126913173	2.2785242786472466	1.9673087675942211	1.668536868363157	1.372219524386352	1.0806661631766634
29001	C-13-O	60	2.0563635508386726	1.9317781337488813	1.7564611382743323	1.4579121601033578	1.161966616364075	0.8712225567597071	0.5909532351879857
29002	HCO+	373	2.16431329153981	2.0275909513449033	1.8481195010908902	1.5487983346493486	1.251883886205753	0.9591511451889942	0.6748427769465277
29003	CH2NH	2957	3.770299886007959	3.57979993949639	3.319099810423354	2.8694998431341334	2.4205992822914397	1.9744978761501524	1.5341022913877755
29004	HCO	2454	3.480600169275338	3.2929999387639763	3.028600123369801	2.57789947758748	2.129799418538435	1.6900985744039843	1.3077099234048069
29005	NNH+	34	3.083100030067681	2.958600192353867	2.7832001385548804	2.4842001537636316	2.18750097972953	1.8952014747788932	1.6115958679471805
29006	CO-17	50	2.0479676277294674	1.923389104720982	1.7480871969403875	1.4495863808375677	1.1537539064551872	0.8632038590286295	0.5833121519830777
29007	HOC+	40	2.146559014142062	2.021891873919109	1.8464113441583432	1.5473685178228835	1.2504444001899657	0.9577509108772793	0.6734816970733472
30001	CO-18	60	2.058015832517345	1.9334265431137434	1.7581091437243093	1.4595432582804129	1.1635787651887741	0.8727970399895985	0.5923988461155638
30002	HC-13-O+	40	2.1599120256681856	2.0352551847750533	1.8597775549736766	1.5607026997277447	1.263673934576048	0.9707140578408049	0.6859386934942598
30003	DCO+	1041	2.7335381447785503	2.5971635078907496	2.417586936179544	2.1178653090866106	1.8201502083987717	1.5258103052474004	1.2382519049224887
30004	H2CO	3506	3.4598467513399886	3.2724501212718096	3.008587823998174	2.558372522169157	2.1094064147502536	1.650122884444062	1.1399105558756826
30005	C-13-H2NH	439	3.303700065011369	3.1163001758605007	2.852199929804341	2.4006001503560728	1.9491020080906583	1.497496350585415	1.0459876056609674
30006	CH2N-15-H	440	3.304400040330322	3.1170000255433803	2.852900055729509	2.401300572610359	1.9497997092480146	1.498200242769982	1.046690221370057
30007	CH2ND	1834	3.856199985556188	3.6688000696408283	3.405299905430512	2.909399826290789	2.474000520621023	1.9667000876400986	1.6372995589616295
30008	NO	9756	3.064275622138832	2.9121630480103367	2.692250125311159	2.321583933030367	1.9977445078024885	1.7159699350819997	1.4604166966257357
30009	NND+	41	2.688100213199801	2.5634003893055546	2.387800787677955	2.0886002697510535	1.7911008992369724	1.4972061807039545	1.2106127663528976
30010	HOC-13+	40	2.1650542992753827	2.0403649558600607	1.864855057915473	1.565729787831127	1.268648164671602	0.9755696578936621	0.6906390117159673
30011	NO+	154	2.4994313783257875	2.3749370490233304	2.1997058228035207	1.901376576975398	1.6058543021089047	1.3159493645403746	1.03734680356809
30012	DOC+	40	2.215179502087822	2.090463332912388	1.9148749875611957	1.6155292236371328	1.318002780068331	1.024062660893657	0.737319889843621
31001	HCO-18+	34	2.1677986325850584	2.0432011071798204	1.8676972436928438	1.5686006222333186	1.271609301378832	0.9784087926230393	0.6933751510251853
31002	H2C-13-O	2309	3.4707123633113595	3.2833093716487456	3.0194349332059867	2.5691818879385773	2.1201427128224593	1.6607137329003328	1.1501728963931312
31003	HDCO	4204	3.2853609770320187	3.099333999331186	2.8365114043799697	2.386821133553116	1.9381102546857725	1.4921133531068034	1.0518429840680041
31004	HO-18-C+	40	2.160732569114289	2.036045719114444	1.8605416279653593	1.5614353279038053	1.2643927617677173	0.9714150233849951	0.6866362692622934
31005	HNO	10293	3.4396021254959166	3.252962658302307	2.98919731060711	2.539121032140057	2.0910602800535	1.647631346820855	1.2362852774480284
31006	Methoxy	10936	4.292500005430937	4.127699989560987	3.863699997089769	3.3578999877549047	2.8473998940232867	2.395200543035077	2.007500270551347
31007	D13CO+	40	2.2483708195750527	2.1236788684240073	1.9480773338516137	1.6486292876565813	1.350854443733036	1.056394064582122	0.7685863083574604
31008	CH3NH2	28298	5.095922003747421	4.908297299830966	4.643917889251314	4.192030826790202	3.7401129220477283	3.2881545292117464	2.8363229761570534
31009	15-NO	4912	2.903646667022201	2.751480803865646	2.531466015749846	2.1605321549519343	1.8362563706134276	1.5536743210544732	1.2965555060882235
31010	CH3CH2D	38764	4.514821761800921	4.261668669525373	3.9394255147653445	3.456177818321948	3.003761116675018	2.5553428568721444	2.110155535524489
32001	O2	336	2.339761796282352	2.2150029719317326	2.0398303664008983	1.7419225553422313	1.4476928147888073	1.1618140481182408	0.8960464650403244
32002	O2-v1	336	2.339761796282352	2.2150029719317326	2.0398303664008983	1.7419225553422313	1.4476928147888073	1.1618140481182408	0.8960464650403244
32003	CH3OH	83543	3.9764930295621252	3.721634513069394	3.3869919086704656	2.863958843863011	2.362179078947474	1.8372499606685473	1.290997898726857
32004	H2CO-18	449	3.479599924776207	3.2922000082972662	3.0281001048892175	2.5789003956400824	2.1298992567209885	1.6703015282850078	1.1595972679874085
32005	O2-snglt-dlta	52	2.17484972014047	2.0520818826445013	1.8804397095592693	1.5929158726628134	1.318747644543364	1.0702004655886008	0.8686444383948257
32006	D$_2$CO	3682	4.0581725981622805	3.8707296210289317	3.6067532371273043	3.1561735695612785	2.7069423799229306	2.2605714930779306	1.8282698874003456
32006	D2CO	3682	4.0581725981622805	3.8707296210289317	3.6067532371273043	3.1561735695612785	2.7069423799229306	2.2605714930779306	1.8282698874003456
32007	DNO	14739	3.608569311112287	3.422597471943683	3.158902731933305	2.7085818397332133	2.260054922662378	1.8148832518338707	1.3783288444526545
33001	HO2	21954	3.641047846596384	3.4535829038240053	3.189569557492076	2.7391482058721643	2.2904366487217973	1.8464274260922942	1.4407989209437124
33002	O-17-O	10787	3.4304362795952597	3.3051448584787666	3.1289557073520577	2.828008030274218	2.527699872060361	2.229672629137248	1.9397283624840396
33003	SH	646	2.0547420982055855	1.9136835444919844	1.7355278420308236	1.4901706556344396	1.3131962866255706	1.2227190717055572	1.2045296547895752
33004	CH2DOH	89098	4.181042834030753	3.973605651874679	3.6394334144430402	3.111514109713796	2.6010395041682646	2.0591467194261983	1.482710692634073
34001	O-18-O	672	2.664095379516674	2.5387639473093127	2.3625427892408073	2.061509024166617	1.761029016383699	1.462664483081794	1.1720977117520277
34002	H2S	1525	2.711340638975664	2.524424944278956	2.261886377235	1.8164169713853922	1.3777687178280513	0.9394992845971937	0.4639825250097072
34003	PH3	728	2.905199867719105	2.7220997738869905	2.460600196466702	2.0131996882166354	1.570496239039667	1.1435144200755514	0.763128376799137
34004	H2O2	38357	3.9905832431829906	3.7604660614816656	3.449364989551822	2.9520743196346424	2.460792637579859	1.9486867588595225	1.4261858252445114
34005	SD	1125	2.4964976283703275	2.3494317863411025	2.0590011595779543	1.8837011726999449	1.6518002104758178	1.4802283479355556	1.3959550967881436
35001	HDS	1138	2.634399674655807	2.4485996651043944	2.185898962609817	1.7383999878610064	1.2956990174895107	0.8627870982353444	0.45163294745699084
36001	HCl	137	1.910608398655108	1.787871195088256	1.6164229962656822	1.3298248443129186	1.0583121211083863	0.8184238550920788	0.652052848248105
36002	18-O2	246	2.3902414476920577	2.265106391330939	2.08939884574638	1.7899316720260363	1.492587195282523	1.200508506985994	0.9226009112525431
36003	HOF	1270	3.1353995411479323	2.953916183459591	2.691810600624937	2.2412283629381125	1.7918772362864457	1.3462199269343507	0.9342812496977035
